Flags,Block,Column,Row,Name,ID,RefNumber,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,1_3,1_4,1_5,1_6,1_7,1_8
0,1,35,2,222787221_EZ015693.1_1178-1282,CUST_1012_PI426227498,10086,-1,1,0,1,0,1,-1,0,0,-1,2,2,0,0,-1,0,1,2,0,2,0,1
0,1,36,2,222781277_EZ009948.1_877-1257,CUST_33_PI426266317,9922,0,0,1,2,0,-1,-1,0,0,-1,-1,2,0,-2,0,16,2,1,-1,0,2,0
0,1,37,2,222784328_EZ012986.1_110-877,CUST_731_PI426227498,9758,0,2,1,2,0,0,1,-1,1,0,0,0,0,0,0,3,2,2,0,1,2,2
0,1,38,2,MGID_902_141_175,CUST_354_PI426266615,9594,542,200,579,472,464,865,213,352,166,339,30,131,28,167,141,122,25,38,36,36,1,15
0,1,39,2,Ac_31_152_190,CUST_83_PI426266615,9430,0,1,1,1,1,1,1,0,-1,2,0,1,1,1,0,-1,0,0,0,1,0,-1
0,1,40,2,222783502_EZ012165.1_20-454,CUST_15_PI426227495,9266,1,4,2,-1,-1,0,-2,0,-2,-4,-1,1,1,1,2,0,0,0,1,1,0,-1
0,1,41,2,209867521_EU785982.1_1-1134,CUST_5_PI426245463,9102,0,1,3,-2,-1,1,-1,0,0,-5,-1,0,1,2,2,7,1,2,1,1,-1,0
0,1,42,2,222785719_EZ014217.1_1146-1295,CUST_6_PI426245467,8938,0,1,0,0,0,0,0,1,0,-1,1,-1,-1,-3,2,1,1,1,0,-1,0,-2
0,1,43,2,222791261_EZ019649.1_38-1273,CUST_399_PI426227486,8774,256,145,131,224,114,199,72,166,56,121,39,32,11,45,87,103,41,37,24,46,-1,30
0,1,44,2,FN646414.1,CUST_268_PI426232937,8610,37,197,45,135,100,49,81,142,85,234,101,12,13,15,34,265,131,190,24,38,-1,113
0,1,45,2,222784087_EZ012745.1_67-1629,CUST_261_PI426227486,8446,0,-1,0,2,-1,0,0,0,1,1,-1,2,1,1,0,3,-1,1,2,-1,1,-2
0,1,46,2,AB048853_131_165,CUST_6_PI426266615,8282,0,0,0,2,3,0,0,1,2,0,1,1,1,1,1,2,0,9,0,0,0,0
0,1,47,2,222799676_EZ028064.1_99-898,CUST_155_PI426266317,8118,-1,1,-1,0,3,2,2,-2,2,2,-3,-1,2,1,-2,16,0,-2,0,2,0,0
0,1,48,2,222795160_EZ023548.1_42-251,CUST_429_PI426227486,7954,-1,-2,0,0,2,1,1,1,1,1,0,0,0,1,-3,2,0,0,-1,1,1,1
0,1,49,2,222799841_EZ028229.1_704-841,CUST_204_PI426227893,7790,2,12,13,10,9,23,2,15,6,19,2,9,1,15,14,7,12,4,0,0,1,4
0,1,50,2,AJ884900.1,CUST_54_PI426232937,7626,1,39,161,57,161,125,263,97,63,67,5,22,13,25,38,69,23,48,77,7,0,43
0,1,51,2,222785649_EZ014161.1_275-1151,CUST_930_PI426227498,7462,2,2,1,3,7,6,1,1,1,7,1,4,1,4,3,23,2,2,0,0,1,2
0,1,52,2,222546036_EZ002226.1_831-941,CUST_5_PI426246029,7298,0,0,-1,0,1,0,0,2,2,-2,1,3,2,0,1,1,1,1,0,-10,1,0
0,1,53,2,222781667_EZ010338.1_58-1246,CUST_120_PI426227486,7134,0,0,0,3,1,3,1,0,3,-1,1,-1,2,-1,-1,1,1,1,0,-5,-1,1
0,1,54,2,222801996_EZ030384.1_31-2558,CUST_184_PI426266274,6970,0,1,-1,1,1,0,1,0,0,-1,3,0,0,2,1,3,-1,1,1,-2,1,1
0,1,55,2,222784057_EZ012715.1_32-313,CUST_6_PI426244597,6806,2,7,8,3,4,2,0,9,1,1,2,2,-1,2,2,2,1,1,2,1,0,1
0,1,56,2,222781761_EZ010432.1_1069-1458,CUST_3_PI426244593,6642,-1,4,1,-1,1,1,0,1,0,0,0,1,0,1,1,5,1,-1,-1,-1,0,-1
0,1,57,2,222783480_EZ012143.1_333-1063,CUST_192_PI426226825,6478,-2,3,1,-1,1,0,1,-1,0,1,0,1,0,-1,0,2,3,-1,1,1,-2,0
0,1,58,2,222784240_EZ012898.1_1111-1290,CUST_32_PI426266363,6314,1,3,1,0,1,1,3,0,-1,1,0,-1,0,0,1,1,2,-3,-2,-3,1,-2
0,1,59,2,222783284_EZ011951.1_2824-2964,CUST_84_PI426227893,6150,0,4,0,1,1,1,1,-1,0,0,-1,0,0,0,2,2,1,2,-1,1,-1,-2
0,1,60,2,288950308_GQ501379.1_22-456,CUST_273_PI426232940,5986,76,558,515,596,415,439,733,500,536,457,207,138,177,224,366,693,387,102,237,81,19,256
0,1,61,2,222782558_EZ011229.1_21-533,CUST_19_PI426265162,5822,3,3,0,4,0,2,0,14,5,7,1,1,0,2,0,3,2,0,6,1,-1,0
0,1,62,2,222800233_EZ028621.1_56-220,CUST_73_PI426266311,5658,-1,1,-1,-2,1,1,-3,0,2,1,1,0,2,0,1,3,0,-3,2,-1,-3,-1
0,1,63,2,NegativeControl,(-)3xSLv1,5494,0,0,0,2,2,0,-2,-2,14,0,3,0,0,0,1,5,2,0,1,0,-2,1
0,1,64,2,NA,NA,5330,-1,2,2,0,1,0,-2,0,10,0,2,0,0,0,0,1,1,0,1,0,0,-1
0,1,65,2,AY149123.1,CUST_83_PI426232937,5166,-1,1,383,0,763,504,840,5,13,1,3,69,145,158,309,2,3,-1,188,0,3,1
0,1,66,2,222799841_EZ028229.1_395-514,CUST_201_PI426227893,5002,8,20,22,21,20,27,9,27,47,34,8,13,5,12,21,16,15,8,4,4,-1,13
0,1,67,2,222795756_EZ024144.1_120-752,CUST_1202_PI426227498,4838,0,1,0,-2,1,-1,-1,1,78,1,1,-1,-1,1,1,0,3,9,0,1,0,1
0,1,68,2,222549613_EZ005526.1_96-233,CUST_33_PI426266274,4674,0,2,0,-2,0,1,-1,1,17,0,0,-2,1,4,1,1,1,4,-1,0,1,1
0,1,69,2,288950275_GQ501346.1_22-447,CUST_196_PI426232940,4510,1,6,49,3,37,25,52,8,13,-1,2,1,3,3,17,1,-1,-1,2,1,1,-1
0,1,70,2,168989246_DQ483007.1_29-1035,CUST_38_PI426267032,4346,-1,1,3,-2,1,4,0,0,0,1,2,0,1,2,1,1,7,1,3,0,0,2
