"","gene_names_ApoE_WT","ApoE.2","ApoE.3","ApoE.4","ApoE.5","ApoE.6","WT.1","WT.2","WT.3","WT.5","WT.6","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9630","Ms4a6d",196.275295299082,516.799104135281,499.028890966881,148.041756308102,1295.37946345739,58.2767669570407,107.454917210885,90.9186386311753,103.805816751064,89.0586264437986,310.50392761607,2.56312479603569,0.503443088242317,5.09119075402225,3.5582183184362e-07,6.84686292296479e-05
"13090","Selp",1024.80760566798,1395.54415123895,2247.02394480059,1215.62742984702,1707.79340203359,589.566625715395,840.378550639848,687.203216666806,726.64071725745,502.618225102358,1093.720386897,1.1817927254206,0.234471259613044,5.04024556088859,4.64934888920011e-07,8.66393930373784e-05
"15020","Tmem182",208.803505637322,146.457507850612,194.22167264819,151.652530852202,195.306160338948,483.697165743438,402.449076723787,362.493792984037,232.225383865783,387.968039335628,276.527483597995,-1.05866777275805,0.210176862549341,-5.03703290608173,4.72803524428943e-07,8.71879249267248e-05
"10185","Nlrp3",53.4536974431544,81.1579820573455,118.94915836827,42.1257030145006,130.809707389807,17.4830300871122,23.315689583494,17.7114231099692,16.0524458893398,34.8045206791857,53.5863357622178,1.96360060028438,0.390995030543115,5.02206024858379,5.11201412442039e-07,9.2344883718994e-05
"8685","Lum",7559.5221180936,12292.1693053982,22678.4004751504,6901.39374528989,22810.8511268433,3326.63211379774,4428.96729522979,4087.7964537809,5542.3744840594,4048.58468488763,9367.66918025309,1.75294171525882,0.349723133786273,5.01236991754195,5.37637202446102e-07,9.61393070192256e-05
"5858","Frzb",862.776085293414,1713.64612688901,7037.5154400227,1127.76524927391,3007.71486921979,374.913867423629,467.327517303945,419.170346935938,759.815772095419,291.743776281409,1606.23890507392,2.57163110565817,0.514785013273321,4.99554384714145,5.86701911593069e-07,0.000102835484563684
"6795","Gp49a",389.209734507968,679.115068249972,1398.58190112692,168.502812058002,1799.54187735561,193.284610407518,190.580419204212,95.6416847938338,132.700219351876,115.673848139646,516.283217519555,2.60686615738467,0.52259010967024,4.98835724049509,6.08948855988513e-07,0.000105688447034947
"4644","Dpep2",123.611675337294,201.495679590651,353.130313905801,56.5688011909007,322.482264745704,70.9033997977328,33.4529459241435,40.1458923825969,38.5258701344156,27.6388840687651,126.7955727078,2.32712307240113,0.467093175904049,4.98213888031448,6.28852737413144e-07,0.000108083301072086
"2100","Atp6v0d2",62.6410516911965,711.764831146605,1204.36022847873,62.5867587644008,1904.91636386406,50.5065313627686,26.3568664856888,62.5803616552246,28.8944026008117,17.4022603395928,413.200965638908,4.40985269976191,0.888616547683723,4.96260474921008,6.95540328020003e-07,0.000117392161910304
"13162","Serpina3h",150.338524058872,17.7241570010295,251.837671232821,14.4430981764002,23.6184193898262,7.77023559427209,7.09607943845469,1.18076154066461,6.42097835573593,3.07098711875168,48.3500911906827,4.15738874223345,0.837777931970298,4.9623994421243,6.9627616791402e-07,0.000117392161910304
"2402","Bcl2a1b",65.1466937588444,102.613540532276,146.827867360833,8.42514060290011,265.253017762664,7.77023559427209,12.1647076087795,5.90380770332307,22.4734242450758,9.21296135625503,64.5791396525223,3.35472957881609,0.684298379901204,4.90243682777743,9.46550594676787e-07,0.000153943051735082
"6833","Gpnmb",2128.12532945558,8009.45326372837,11494.3917176338,2491.43443542903,20352.7187088099,1373.38914128759,1798.34927483123,1243.34190231984,1469.33388040424,1843.61593362392,5220.41535875235,2.52485475826605,0.51595620043862,4.89354475461221,9.90357798527708e-07,0.000159384582793964
