"","gene_names_ApoE_DKO","ApoE.2","ApoE.3","ApoE.4","ApoE.5","ApoE.6","DKO.1","DKO.3","DKO.5","DKO.6","DKO.7","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"12313","Serpina3b",92.4299965418313,21.3314382639085,46.1747641886564,20.0109775775373,66.2516064497121,1200.51264665897,586.441069920467,5.3926092094074,266.735366272349,200.289161125903,250.556963620874,-3.19636550323401,0.844640556120893,-3.78429082059909,0.000154147491962365,0.0574539965972285
"12782","Slc4a11",164.804427796284,123.140575432563,105.817167932338,128.820668155396,111.041424894588,211.499711240255,176.638876482068,175.799060226681,200.234220160613,197.526552006925,159.532268432771,-0.600966663746479,0.159548952694961,-3.76666003502672,0.000165446046331909,0.0602637223763979
"15316","Ybx2",408.959135642631,267.612589129034,218.368155642188,378.957887874612,454.430032971969,595.220615919002,721.695981055308,1168.03915475764,591.20249675159,535.946169081727,534.043221882571,-1.06347203065605,0.283513598168281,-3.75104417398992,0.000176099667804871,0.0627188750201926
"5188","Fbp1",16.5676408895735,4.8480541508883,4.80987126965171,15.008233183153,11.197454611219,42.2999422480509,139.292371168717,10.7852184188148,29.9620548415516,58.0147914985374,33.2785632280157,-2.42082471750499,0.647807611551425,-3.73695009805054,0.000186265872477119,0.0648974595258867
"4972","Fam117a",739.43997233465,486.744636749185,419.420774713629,731.651367678707,939.653066124791,1583.22640985562,1602.87163344871,1663.08068018124,1492.25648747435,711.371848136828,1036.97168766977,-1.0887558293103,0.292413399611283,-3.72334452100222,0.0001966009515006,0.0670409244617045
"12159","Scn4b",353.152345277752,350.029509694135,290.516224686963,272.649569493946,223.949092224379,438.106544711956,517.804249344578,737.708939846933,368.314040003463,564.953564830995,411.71840801151,-0.815895964630703,0.221126505372938,-3.68972486249292,0.000224496719559186,0.0749585192578142
"6789","Hist2h2bb",423.782814333302,677.757970294184,763.807557620692,700.384215213805,675.579761543544,465.29936472856,322.996802710068,313.849855987511,398.276094845015,451.686590952899,519.342102822958,0.731617083545584,0.199021144299163,3.67607716316734,0.000236847910035555,0.0759192290827968
"15146","Wdfy1",3575.99448884953,4456.33137549653,3993.15512806485,4494.96583835431,4165.45311537345,2701.15345498268,2330.62380455483,2584.13833314803,2878.54961026516,3725.3783969418,3490.57435460312,0.541050858555968,0.147077268342909,3.67868444017138,0.000234440120608312,0.0759192290827968
"12319","Serpina3j",26.1594329835372,8.72649747159894,0.961974253930342,2.50137219719216,44.7898184448758,692.913339682358,589.469164945874,6.47113105128888,100.117110080306,156.087415222255,162.819725633322,-4.2123450016584,1.15608848488279,-3.64361816309023,0.00026883214891754,0.0844818206019886
"6082","Gm3435",90.6860343429288,67.8727581124362,68.3001720290543,80.0439103101492,35.45860626886,33.2356689091829,26.243490220193,31.2771334145629,32.8851821431663,42.8204413441586,50.8823397094692,1.0466992296394,0.289224998890383,3.61897911195464,0.000295767507896113,0.0911589586355961
"7366","Itih3",290.369706117262,557.526227352155,1251.52850436338,592.825210734542,681.178488849153,284.013897951199,175.629511473599,183.348713119852,222.157674922724,426.823108882097,466.540104376596,1.38622649488338,0.384710213876488,3.60330047106165,0.000314201959454223,0.0950134868711855
"8564","Mill1",21.799527486281,39.7540440372841,25.0113306021889,22.5123497747295,29.8598789632505,170.2069104743,92.8615807791445,57.1616576197185,34.3467457939737,58.0147914985374,55.1528817029408,-1.56835482697763,0.435979242975543,-3.59731535903788,0.00032151857815627,0.0954255231872322
"3214","Ckm",107.253675232502,48.480541508883,65.4142492672633,6.2534304929804,18.6624243520316,674.784793004622,116.076975973931,1104.40636608664,119.848219366206,31.7700048682467,229.29506801533,-3.05410836747063,0.85495766909379,-3.57223343081748,0.000353949696247343,0.101536566430254
"4921","F630042J09Rik",31.3913195802446,3.87844332071064,52.9085839661688,46.275385648055,4.6656060880079,4.0285659283858,4.03746003387585,4.31408736752592,3.65390912701848,5.52521823795595,16.0678579297949,2.69869476496724,0.756576249984643,3.5669831890996,0.000361114636957914,0.101536566430254
"13176","Spata24",112.48556182921,121.201353772208,135.638369804178,118.815179366628,109.175182459385,91.649874870777,87.8147557367997,56.083135777837,71.6166188895622,81.4969690098502,98.5977001516434,0.621539266512707,0.174030645885507,3.57143572817405,0.000355029677549529,0.101536566430254
"14255","Tnfaip6",218.867255962261,296.700914034364,429.040517252933,162.58919281749,371.382244605429,170.2069104743,151.404751270344,128.344099183896,177.579983573098,124.317410354009,223.043327952812,0.974338647328265,0.275122238573328,3.54147542699852,0.00039789591886027,0.108086065958874
