gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Spata24,109.0099483,117.5622397,132.2677584,115.4042596,106.5908723,88.90036777,85.31453273,54.58008921,69.6397249,79.0687245,105.9569952,0.623454602,0.152113086,4.09862568,4.16E-05,0.018006327
Fbp1,16.05572881,4.702489589,4.690346044,14.57738016,10.93239716,41.03093897,135.3265002,10.496171,29.13498695,56.28621066,28.13859232,-2.419906413,0.592721529,-4.082703756,4.45E-05,0.018815626
Ckm,103.9397181,47.02489589,63.7887062,6.073908402,18.22066193,654.5411693,112.7720835,1074.807911,116.5399478,30.82340107,213.2515576,-3.05411738,0.749313409,-4.075887799,4.58E-05,0.018914094
Galnt10,894.0505834,948.0219011,1018.743161,1008.268795,1211.674018,755.1646625,713.8963198,843.8921486,801.5674458,842.953012,879.8272847,0.361225788,0.089769119,4.023942685,5.72E-05,0.022175115
Tnfaip6,212.104628,287.7923628,418.3788671,157.9216184,362.5911724,165.100683,147.0940219,124.9044349,172.6780934,120.6133086,191.5438329,0.976336813,0.242718275,4.022510507,5.76E-05,0.022175115
Itih3,281.3977734,540.7863027,1220.428041,575.8065165,665.0541605,275.4934474,170.6290655,178.434907,216.0252691,414.1056927,397.7667596,1.389804806,0.347126524,4.003741316,6.23E-05,0.022510421
Mill1,21.12595897,38.56041463,24.38979943,21.86607025,29.15305909,165.100683,90.21766679,55.62970631,33.39864357,56.28621066,42.07260439,-1.565944341,0.390239105,-4.012781708,6.00E-05,0.022510421
Sspo,157.1771347,97.81178345,106.0018206,153.0624917,139.3880638,206.131622,303.994312,407.2514349,251.555741,176.8995192,194.5894077,-1.043932885,0.260684769,-4.00457951,6.21E-05,0.022510421
Slc47a1,54.08245495,87.46630636,56.28415253,69.24255578,74.70471392,90.85422201,94.14017404,222.5188252,117.2505572,166.1783362,114.692931,-1.01219415,0.253915084,-3.986349041,6.71E-05,0.023730706
Ybx2,396.3229902,259.5774253,212.9417104,368.0788491,443.673118,577.363927,701.1481713,1136.73532,574.8830351,519.9773747,447.9840605,-1.062546699,0.268694677,-3.954476171,7.67E-05,0.026063816
Slfn10-ps,100.5595647,90.28780011,212.9417104,58.30952066,130.2777328,49.82328304,54.91510153,66.12587731,45.47900401,46.90517555,70.83794339,1.174078083,0.298291021,3.93601551,8.28E-05,0.027609896
Clca2,242.5260089,248.2914503,448.3970818,102.0416611,412.6979927,88.90036777,120.617098,124.9044349,139.9900592,146.0761181,169.1561904,1.230529749,0.315392175,3.901586179,9.56E-05,0.031247765
Serpina3b,89.57406601,20.69095419,45.02732202,19.43650689,64.68334986,1164.497125,569.7441783,5.248085501,259.3724448,194.3214416,215.7884018,-3.193715521,0.821647434,-3.886965854,0.000101505,0.032575594
Slc4a11,159.7122498,119.4432356,103.187613,125.1225131,108.4129385,205.1546949,171.6096923,171.0875873,194.7069859,191.6411458,157.1766524,-0.599958559,0.154991047,-3.870923971,0.000108424,0.034163293
Timp1,1368.117103,2030.535005,3665.974468,782.3194021,3123.932488,699.4798168,638.3880552,1221.754305,461.8961345,1129.744657,1105.023588,1.402799675,0.364013981,3.853697238,0.000116347,0.036005382
Clec5a,49.85726316,126.026721,173.5428036,42.51735881,256.0003001,40.05401185,25.49629714,53.53047211,24.16072088,54.94606279,67.92381874,1.718371742,0.447029071,3.843982086,0.000121054,0.036804617
