gene_names,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,WT.1,WT.2,WT.3,WT.5,WT.6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Spn,211.9931847,143.1715147,307.5378104,225.9738012,109.8921256,89.84281288,60.10667902,27.41367615,100.2712876,45.29050038,150.750416,1.627980274,0.407383,3.996190992,6.44E-05,0.00864751
Tapbp,6255.264339,6279.93411,6479.286359,5201.661084,5461.102582,4754.833216,4736.202555,4201.443844,4375.278332,4847.11287,5393.419682,0.372914796,0.093801295,3.975582582,7.02E-05,0.009359157
Ccdc11,14.65390678,10.78689494,14.6946394,16.34401707,9.38103511,35.1558833,35.6565045,29.79747407,19.40734598,27.79189796,20.45701547,-1.141463053,0.287441191,-3.97111857,7.15E-05,0.009463498
Spata6,1091.227591,1020.832512,914.2164943,1146.923632,1119.023474,1268.541456,1342.722084,1346.845828,1411.345327,1342.245738,1197.907938,-0.342268259,0.086230185,-3.969239529,7.21E-05,0.009466168
Rsrc2,2731.488223,2751.638837,3160.397089,2485.711813,2942.964729,3395.472395,3602.325712,3780.703511,3802.761626,3408.110153,3090.899305,-0.354783591,0.08944939,-3.966305318,7.30E-05,0.009511348
Enpep,2014.423718,2866.372174,2273.470639,1677.748882,1657.762919,1448.227081,1160.364532,1214.545043,1182.769919,1350.480375,1700.30065,0.722660752,0.18307077,3.947439307,7.90E-05,0.01021415
Nfkbid,68.38489829,63.74074284,75.57243121,80.29886646,132.6746394,54.68692958,56.03164993,29.79747407,33.42376252,25.73323885,60.5950494,1.06060117,0.268799371,3.945698107,7.96E-05,0.01021415
Ly6c2,78.15416947,64.72136965,132.2517546,70.35033433,36.18399257,28.3200171,15.28135907,27.41367615,18.32916009,25.73323885,50.09359115,1.732270605,0.439498499,3.941471038,8.10E-05,0.010319431
Gpr88,44.93864745,64.72136965,108.1105613,52.58509839,142.0556745,17.57794165,25.46893179,38.14076682,21.56371775,29.85055707,123.1756577,1.634021127,0.415370498,3.933888264,8.36E-05,0.010496285
Tef,6343.18778,5373.834935,8676.13495,6135.401885,9039.297402,10771.37202,12338.16932,9840.317838,9982.923134,10409.60978,8214.976552,-0.58495561,0.148685609,-3.934177724,8.35E-05,0.010496285
Klrb1c,14.65390678,22.5544167,18.8931078,12.08036044,10.72118298,9.765523139,1.018757272,1.191898963,1.078185888,3.087988662,11.38489462,2.252220437,0.573029907,3.930371537,8.48E-05,0.010574379
Zfp101,414.2170982,406.9601274,436.6407137,363.1214227,454.3101289,497.0651278,575.5978584,606.6765722,561.7348475,505.400811,466.3552189,-0.40715056,0.103913408,-3.918171563,8.92E-05,0.011044557
Fgd3,165.100683,188.2803481,246.6600185,192.5751576,284.111349,118.16283,109.0070281,108.4628056,108.8967747,73.08239833,184.5033616,1.054343575,0.269464199,3.912740835,9.13E-05,0.011136899
Ppp1r16a,859.6958642,995.3362151,1026.525524,1051.701968,1175.309684,802.726002,690.7174301,837.904971,792.4666275,767.8798473,894.2358107,0.391821598,0.100132752,3.91302138,9.11E-05,0.011136899
Polr3f,1096.112227,1164.004027,1122.04068,1142.659976,1207.473233,1244.127648,1373.284802,1557.811945,1496.522012,1351.509704,1261.677919,-0.292864304,0.07517862,-3.895579654,9.80E-05,0.01187216
Rnf146,1520.098596,1527.816575,1419.082319,1378.582309,1450.039998,1682.599637,1735.962391,1727.061597,1872.808887,1752.94823,1588.965443,-0.26607731,0.06835037,-3.892843765,9.91E-05,0.011923517
