gene_names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Exp.1.Basal,Exp.1.TW.100,Exp.2.Basal,Exp.2.TW.100,Exp.4.Basal,Exp.4.TW.100
Ifngr1,8130.818165,0.837332789,0.106792465,7.840747817,4.48E-15,2.34E-13,6342.426273,10584.33759,5980.753964,11431.44621,5180.968053,9264.976909
Exoc3l4,1043.029905,1.196876968,0.152871779,7.829286592,4.91E-15,2.56E-13,384.7174484,791.6938356,1017.539187,2102.241878,510.3777735,1451.609305
Mcm5,5198.55879,1.068015521,0.136617067,7.817584885,5.38E-15,2.80E-13,2626.114757,5908.993991,4777.436074,8059.943185,2861.802233,6957.062498
Hist2h3b,648.1161576,1.175860058,0.150590281,7.808339637,5.79E-15,3.00E-13,285.340307,609.8652514,517.7284652,1100.146263,388.255778,987.3608814
Lrp2,1186.006369,-1.495250491,0.191527862,-7.806960688,5.86E-15,3.02E-13,2388.987122,1045.731858,1422.102961,333.7320225,1347.950327,577.5339239
Plk1,1659.948243,1.029305685,0.131868266,7.805560175,5.92E-15,3.04E-13,886.522816,2026.214223,1448.508056,2606.887874,973.5196809,2018.036807
Cdca3,2632.258515,0.899577241,0.115357647,7.798158751,6.28E-15,3.22E-13,1530.998337,2991.036711,2448.1295,4209.881039,1571.456621,3042.04888
G0s2,1286.024208,-0.968527267,0.124220299,-7.796851851,6.35E-15,3.24E-13,1847.824471,998.7522234,1892.679471,949.9218754,1359.47127,667.4959389
Mastl,2260.156029,1.13500878,0.146116611,7.767828553,7.98E-15,4.06E-13,2065.273464,3864.50991,488.4942531,1363.713601,1890.586741,3888.358207
Susd5,144.8807229,-2.057473762,0.264928334,-7.766152181,8.09E-15,4.10E-13,355.1994856,90.4792955,229.158501,45.87690876,116.361524,32.20862268
Fen1,2708.817422,0.98748489,0.127188404,7.763953803,8.23E-15,4.15E-13,1546.741251,3186.785187,2471.705478,4264.75342,1495.418397,3287.500797
Rad51ap1,884.265911,1.07506034,0.138468762,7.763919618,8.23E-15,4.15E-13,629.7165396,1204.070625,524.3297389,1179.306419,556.4615454,1211.710598
Tacc3,4342.074631,0.835975811,0.107809129,7.754220977,8.89E-15,4.46E-13,2771.736707,5162.539803,3831.567858,6468.644135,2782.307727,5035.651559
Hist1h4a,1290.306349,1.027442513,0.132522044,7.752993254,8.98E-15,4.49E-13,699.5757183,1258.880198,1164.653287,2484.549451,665.9105036,1468.268937
Tmem176a,3840.881941,1.095319567,0.141334511,7.749837996,9.20E-15,4.59E-13,1032.144766,2415.101195,4639.752365,7875.536003,2042.663188,5040.094128
Cd82,3714.530656,0.842292465,0.108800642,7.741612984,9.82E-15,4.88E-13,1854.711996,3514.772633,3560.915637,6168.19536,2607.189394,4581.398915
Smc2,5356.221904,1.1946149,0.154387772,7.737755961,1.01E-14,5.01E-13,5387.02821,10354.65938,959.0707634,2979.300427,4114.128734,8343.143915
E2f7,766.036592,1.199729219,0.155348913,7.7228041,1.14E-14,5.62E-13,448.6730345,1126.641228,527.1588562,1004.794256,420.5144184,1068.437759
Hist1h2ah,379.1929336,1.516741262,0.196492092,7.719095687,1.17E-14,5.76E-13,150.5416103,478.4962743,299.8864334,680.9572535,154.3806358,510.8953942
Gen1,726.9915131,1.387260977,0.179888295,7.711791242,1.24E-14,6.08E-13,597.2467806,1181.450801,182.006546,602.6966444,474.6628503,1323.885456
Adcy5,1146.697052,-0.986398319,0.128108412,-7.699715469,1.36E-14,6.66E-13,1878.326366,902.1829753,1529.609418,757.4187681,1175.136183,637.5086006
Pold1,2334.105036,0.936421638,0.121694367,7.694864304,1.42E-14,6.90E-13,1420.797943,2857.057754,1974.723873,3387.69487,1437.813682,2926.542095
Rhbdl3,506.7618347,1.195848283,0.155514588,7.689621277,1.48E-14,7.17E-13,261.7259368,562.015624,361.1839748,865.3644357,297.2403286,693.0407086
Stil,1042.997958,1.172931212,0.153151731,7.658621956,1.88E-14,9.10E-13,872.7477667,1678.216933,380.0447568,1058.76709,717.754747,1550.456457
Dscc1,266.4950314,1.501837917,0.196117688,7.657840218,1.89E-14,9.12E-13,148.5737461,381.057033,145.2280212,439.8785957,123.2740898,360.9587024
Hist1h3f,2388.064086,0.950626862,0.124224072,7.652517316,1.97E-14,9.48E-13,1134.473703,2507.320477,2289.698932,4167.602319,1511.547717,2717.741369
Lmnb1,1585.08329,0.911617443,0.119380165,7.636255544,2.24E-14,1.07E-12,892.4264085,1700.836757,1344.773755,2410.786578,1071.447696,2090.228547
