Tank,Raceway,Tank.Raceway,Colony,Site,Color,Infect,Oil,Dispersant,Trt,Hyb Date,Chip,Array,chip # (array),chp_bl_hd_st_sp_tk_trt
3,A,A3,EL104,EL,full blue,B,U,D,BUD,80112,15,3,253295110032_3,M32_B3_080112_EL_EL104_A3_BUD
3,A,A3,EL103,EL,full yellow,B,U,D,BUD,80112,15,4,253295110032_4,M32_B4_080112_EL_EL103_A3_BUD
4,C,C4,EL101,EL,full white,B,O,D,BOD,80112,15,5,253295110032_5,M32_B5_080112_EL_EL101_C4_BOD
3,C,C3,WL103,WL,pink zip,B,U,C,BUC,80112,15,6,253295110032_6,M32_B6_080112_WL_WL103_C3_BUC
4,C,C4,EL103,EL,full yellow,B,O,D,BOD,80112,15,7,253295110032_7,M32_B7_080112_EL_EL103_C4_BOD
4,C,C4,EL102,EL,full purple,B,O,D,BOD,80112,15,8,253295110032_8,M32_B8_080112_EL_EL102_C4_BOD
3,B,B3,WL104,WL,orange,B,O,C,BOC,80912,16,1,253295110033_1,M33_B1_080912_WL_WL104_B3_BOC
3,B,B3,WL101,WL,green zip,B,O,C,BOC,80912,16,2,253295110033_2,M33_B2_080912_WL_WL101_B3_BOC
1,B,B1,WL101,WL,green zip,B,U,D,BUD,80912,16,3,253295110033_3,M33_B3_080912_WL_WL101_B1_BUD
4,B,B4,WL104,WL,orange,B,U,C,BUC,80912,16,4,253295110033_4,M33_B4_080912_WL_WL104_B4_BUC
1,B,B1,WW102,WW,1/2 purple,B,U,D,BUD,80912,16,5,253295110033_5,M33_B5_080912_WW_WW102_B1_BUD
1,B,B1,WW101,WW,1/2 white,B,U,D,BUD,80912,16,6,253295110033_6,M33_B6_080912_WW_WW101_B1_BUD
1,B,B1,WL105,WL,neon yellow,B,U,D,BUD,80912,16,7,253295110033_7,M33_B7_080912_WL_WL105_B1_BUD
1,B,B1,WW103,WW,1/2 yellow,B,U,D,BUD,80912,16,8,253295110033_8,M33_B8_080912_WW_WW103_B1_BUD
5,B,B5,WW101,WW,1/2 white,B,O,D,BOD,81612,17,1,253295110034_1,M34_B1_081612_WW_WW101_B5_BOD
5,B,B5,WW104,WW,1/2 blue,B,O,D,BOD,81612,17,2,253295110034_2,M34_B2_081612_WW_WW104_B5_BOD
5,B,B5,WW103,WW,1/2 yellow,B,O,D,BOD,81612,17,3,253295110034_3,M34_B3_081612_WW_WW103_B5_BOD
5,B,B5,WW102,WW,1/2 purple,B,O,D,BOD,81612,17,4,253295110034_4,M34_B4_081612_WW_WW102_B5_BOD
5,B,B5,WL103,WL,pink zip,B,O,D,BOD,81612,17,5,253295110034_5,M34_B5_081612_WL_WL103_B5_BOD
5,B,B5,WW105,WW,1/2 red,B,O,D,BOD,81612,17,6,253295110034_6,M34_B6_081612_WW_WW105_B5_BOD
5,B,B5,WL105,WL,neon yellow,B,O,D,BOD,81612,17,7,253295110034_7,M34_B7_081612_WL_WL105_B5_BOD
5,B,B5,WL104,WL,orange,B,O,D,BOD,81612,17,8,253295110034_8,M34_B8_081612_WL_WL104_B5_BOD
